"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"TGFB1",3.3435034121758e-149,0.648454129516603,0.479,0.304,6.61411844996618e-145,"2","TGFB1",0.175
"CD61",1.91971240082056e-146,0.516950587809931,0.302,0.131,3.79757507130324e-142,"2","CD6",0.171
"IFITM1",3.5804489515042e-144,0.52223976493723,0.469,0.266,7.0828441158656e-140,"2","IFITM1",0.203
"RNF19A",3.2624539307895e-143,0.540743044400552,0.28,0.12,6.45378636588779e-139,"2","RNF19A",0.16
"LCP1",3.29919917137245e-135,0.501025077904069,0.393,0.216,6.52647580080898e-131,"2","LCP1",0.177
"SLC38A1",6.67195774700188e-130,0.516225969568507,0.325,0.165,1.31984668151191e-125,"2","SLC38A1",0.16
"NAA50",2.400288991628e-126,0.524585999993316,0.295,0.143,4.7482516832385e-122,"2","NAA50",0.152
"CD97",6.32478898129882e-123,0.514522490721069,0.51,0.343,1.25116975628053e-118,"2","CD97",0.167
"HMGB2",1.53292075316552e-119,0.509889658945673,0.479,0.321,3.03242383391204e-115,"2","HMGB2",0.158
"PTPN7",2.72907821472292e-113,0.510132192737043,0.289,0.144,5.39866252436488e-109,"2","PTPN7",0.145
"CLDND1",1.39799012086741e-74,0.511120429069872,0.279,0.168,2.76550405709991e-70,"2","CLDND1",0.111
"IL8",0,4.07918877378967,0.748,0.119,0,"3","IL8",0.629
"IL1B",0,3.727677915764,0.618,0.039,0,"3","IL1B",0.579
"SPP1",0,3.51208178474625,0.313,0.028,0,"3","SPP1",0.285
"G0S2",0,3.45309447578988,0.64,0.039,0,"3","G0S2",0.601
"S100A9",0,3.40079904824399,0.642,0.021,0,"3","S100A9",0.621
"FCER1G",0,3.31980772748588,0.867,0.071,0,"3","FCER1G",0.796
"C15orf48",0,3.23000509254592,0.705,0.048,0,"3","C15orf48",0.657
"TIMP1",0,3.21000628440646,0.751,0.262,0,"3","TIMP1",0.489
"SOD2",0,3.07248363102387,0.813,0.27,0,"3","SOD2",0.543
"CXCL3",0,3.06306001014129,0.589,0.063,0,"3","CXCL3",0.526
"CXCL2",0,3.01887664080446,0.652,0.069,0,"3","CXCL2",0.583
"S100A8",0,2.96188222614417,0.561,0.011,0,"3","S100A8",0.55
"CCL3",0,2.90769687985624,0.595,0.114,0,"3","CCL3",0.481
"TYROBP",0,2.87967290693359,0.94,0.089,0,"3","TYROBP",0.851
"PLAUR",0,2.76709921581163,0.72,0.076,0,"3","PLAUR",0.644
"LYZ",0,2.65429136619584,0.799,0.112,0,"3","LYZ",0.687
"CCL20",0,2.56895787143496,0.39,0.073,0,"3","CCL20",0.317
"C1QA",0,2.55853596625562,0.31,0.018,0,"3","C1QA",0.292
"C1QB",0,2.54553888542362,0.289,0.023,0,"3","C1QB",0.266
"AIF1",0,2.51447402693324,0.765,0.027,0,"3","AIF1",0.738
"IL1RN",0,2.49426995356682,0.523,0.016,0,"3","IL1RN",0.507
"CTSB",0,2.3379170912033,0.757,0.151,0,"3","CTSB",0.606
"EREG",0,2.32696791575639,0.522,0.009,0,"3","EREG",0.513
"C1QC",0,2.29120584493134,0.276,0.014,0,"3","C1QC",0.262
"FTL",0,2.21214403237481,0.994,0.942,0,"3","FTL",0.052
"CST3",0,2.20936185907802,0.819,0.149,0,"3","CST3",0.67
"CXCL1",0,2.10681094807759,0.303,0.031,0,"3","CXCL1",0.272
"CTSL",0,2.0684932563914,0.622,0.066,0,"3","CTSL",0.556
"APOC1",0,2.0650243604306,0.256,0.025,0,"3","APOC1",0.231
"BCL2A1",0,2.03370891282272,0.663,0.134,0,"3","BCL2A1",0.529
"LGALS1",0,1.95788477920065,0.909,0.39,0,"3","LGALS1",0.519
"CD14",0,1.92826826286239,0.534,0.011,0,"3","CD14",0.523
"SAT1",0,1.87036073048786,0.954,0.738,0,"3","SAT1",0.216
"FTH1",0,1.86360782724742,0.994,0.978,0,"3","FTH1",0.016
"CCL3L3",0,1.84518964656643,0.268,0.025,0,"3","CCL3L3",0.243
"TXN",0,1.82651141904403,0.789,0.432,0,"3","TXN",0.357
"SERPINA1",0,1.78328463430263,0.608,0.013,0,"3","SERPINA1",0.595
"CD68",0,1.78065414223169,0.64,0.036,0,"3","CD68",0.604
"MMP9",0,1.76926273669974,0.301,0.009,0,"3","MMP9",0.292
"LST1",0,1.76795011184272,0.681,0.046,0,"3","LST1",0.635
"NPC2",0,1.73244103470794,0.844,0.304,0,"3","NPC2",0.54
"GPX1",0,1.71422724213254,0.874,0.357,0,"3","GPX1",0.517
"IER3",0,1.70879407605735,0.644,0.107,0,"3","IER3",0.537
"CSTB",0,1.6774371642113,0.74,0.338,0,"3","CSTB",0.402
"MS4A6A",0,1.61524787716637,0.403,0.006,0,"3","MS4A6A",0.397
"TYMP",0,1.59547790283443,0.804,0.273,0,"3","TYMP",0.531
"S100A11",0,1.54164591688077,0.919,0.498,0,"3","S100A11",0.421
"PSAP",0,1.53845486157335,0.798,0.382,0,"3","PSAP",0.416
"FCGR2A",0,1.5182876329691,0.511,0.01,0,"3","FCGR2A",0.501
"ANXA5",0,1.50699637055209,0.778,0.267,0,"3","ANXA5",0.511
"TGFBI",0,1.48396269964096,0.485,0.017,0,"3","TGFBI",0.468
"CSTA",0,1.48226432023799,0.507,0.008,0,"3","CSTA",0.499
"PPIF",0,1.46596955237784,0.536,0.066,0,"3","PPIF",0.47
"SDS",0,1.46247151041042,0.281,0.005,0,"3","SDS",0.276
"TREM1",0,1.39103690090004,0.459,0.003,0,"3","TREM1",0.456
"PTGS2",0,1.37873152872458,0.34,0.02,0,"3","PTGS2",0.32
"GSTO1",0,1.36063527757797,0.678,0.174,0,"3","GSTO1",0.504
"CTSS",0,1.35120558822083,0.732,0.32,0,"3","CTSS",0.412
"RP11-1143G9.4",0,1.33547257400625,0.382,0.017,0,"3","RP11-1143G9.4",0.365
"HLA-DPB11",0,1.33309781238083,0.856,0.519,0,"3","HLA-DPB1",0.337
"NINJ1",0,1.31720336750922,0.657,0.181,0,"3","NINJ1",0.476
"HLA-DRA1",0,1.31155266333228,0.974,0.53,0,"3","HLA-DRA",0.444
"CD63",0,1.30369502391162,0.837,0.425,0,"3","CD63",0.412
"ACTB",0,1.27063361148396,0.997,0.956,0,"3","ACTB",0.041
"ASAH1",0,1.25714817579267,0.609,0.158,0,"3","ASAH1",0.451
"NAMPT",0,1.25442455634799,0.632,0.165,0,"3","NAMPT",0.467
