"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CTSC",1.59672937427299e-37,0.546010452644004,0.787,0.428,3.15865004818682e-33,"2","CTSC",0.359
"FGL2",1.19679492146971e-36,0.618169996964351,0.55,0.197,2.36749971365139e-32,"2","FGL2",0.353
"FOSB",1.7815740444331e-36,0.967401027413323,0.794,0.448,3.52430977469756e-32,"2","FOSB",0.346
"ARL4C",2.65041831375847e-36,0.760718772506134,0.619,0.262,5.243057508277e-32,"2","ARL4C",0.357
"KLF6",1.15123166834281e-34,0.659442966879185,0.921,0.637,2.27736648631574e-30,"2","KLF6",0.284
"ZFP36",1.94859047449653e-33,0.791648873890256,0.849,0.52,3.85470167664903e-29,"2","ZFP36",0.329
"TFRC",5.97776128253073e-33,0.694404722543431,0.526,0.212,1.18252073691023e-28,"2","TFRC",0.314
"HLA-DMB",7.41987469821926e-33,0.56410603577769,0.701,0.347,1.46779961280173e-28,"2","HLA-DMB",0.354
"CD163",1.51495295259328e-32,0.552131524734587,0.454,0.148,2.99687993082002e-28,"2","CD163",0.306
"JUND",8.39732763954391e-32,0.797803342007213,0.818,0.525,1.66115935365458e-27,"2","JUND",0.293
"CYBB",2.91805296081452e-31,0.61298465303399,0.608,0.271,5.77249236708328e-27,"2","CYBB",0.337
"LAMP1",5.29225043309492e-31,0.5705854407916,0.629,0.299,1.04691298067484e-26,"2","LAMP1",0.33
"LMNA",8.30318996103148e-30,0.599520290402789,0.759,0.413,1.64253703809125e-25,"2","LMNA",0.346
"NR4A2",6.9363293307009e-29,1.04828832109717,0.55,0.253,1.37214466819925e-24,"2","NR4A2",0.297
"EGR1",1.11479052760809e-28,1.02412379931499,0.285,0.073,2.20527862171433e-24,"2","EGR1",0.212
"CCL4",1.55337933452774e-28,0.561783744001722,0.742,0.421,3.07289499956278e-24,"2","CCL4",0.321
"CD4",2.17165589011049e-28,0.500372784782497,0.436,0.16,4.29596968181658e-24,"2","CD4",0.276
"CD83",1.2270543981143e-26,0.665178287249888,0.78,0.474,2.42735901034971e-22,"2","CD83",0.306
"DUSP1",8.01910024372532e-26,0.632577237842695,0.921,0.669,1.58633841021374e-21,"2","DUSP1",0.252
"TSC22D1",1.08885713730583e-25,0.635966786184317,0.371,0.125,2.15397718901839e-21,"2","TSC22D1",0.246
"MMP9",6.02202964852837e-25,0.826503948319274,0.546,0.255,1.19127790507188e-20,"2","MMP9",0.291
"RHOB",9.02517556255915e-25,0.507151953727858,0.289,0.082,1.78536022978545e-20,"2","RHOB",0.207
"IER3",4.13243300827969e-24,0.57493187837647,0.9,0.597,8.17477897697888e-20,"2","IER3",0.303
"PLA2G7",5.65366778049075e-24,0.516863434008106,0.509,0.231,1.11840856033668e-19,"2","PLA2G7",0.278
"JUNB",5.90520645424503e-24,0.98295443054962,0.704,0.449,1.16816794077875e-19,"2","JUNB",0.255
"PLIN2",4.20782288470668e-23,0.581163323397099,0.68,0.382,8.32391523052675e-19,"2","PLIN2",0.298
"KLF4",2.29539296829688e-21,0.640551431754894,0.622,0.351,4.54074636988488e-17,"2","KLF4",0.271
"MAFF",5.71413469199537e-21,0.58896675139592,0.481,0.244,1.13037012477052e-16,"2","MAFF",0.237
"ICAM1",2.4339183010572e-20,0.554818027373059,0.674,0.416,4.81477718315136e-16,"2","ICAM1",0.258
"JUN",1.1970856550143e-19,1.02988371716206,0.54,0.294,2.36807484274928e-15,"2","JUN",0.246
"FABP5",3.2355966979962e-19,0.533662711632059,0.663,0.403,6.40065738797608e-15,"2","FABP5",0.26
"DUSP2",8.23435994524118e-19,0.75196684346013,0.388,0.173,1.62892108436761e-14,"2","DUSP2",0.215
